id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,"Family,Animation,Comedy",en,"Get ready to Rock! Scooby-Doo and the Mystery Inc. Gang team up with the one and only KISS in this all-new, out-of-this-world adventure! We join the Gang at Kiss World – the all-things-Kiss theme park, as they investigate a series of strange hauntings. With help from Kiss, they discover that the Crimson Witch has returned to summon The Destroyer from the alternate dimension of Kissteria! The evil duos ghastly plan, to destroy the earth! Can the Gang's cunning and Kiss's power of rock save the day?!",18.978,2015-07-10,8.1,228
9715,Hope Floats,"Romance,Drama,Comedy",en,"Birdee Pruitt has been humiliated on live television by her best friend, Connie, who's been sleeping with Birdee's husband, Bill. Birdee tries starting over with her daughter, Bernice, by returning to her small Texas hometown, but she's faced with petty old acquaintances who are thrilled to see Birdee unhappy -- except for her friend Justin. As he helps Birdee get back on her feet, love begins to blossom.",16.057,1998-05-29,6.4,344
583083,The Kissing Booth 2,"Comedy,Romance",en,"With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.",60.867,2020-07-24,7.8,4541
4349,The Kingdom,"Thriller,Action,Drama",en,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,14.225,2007-08-22,6.7,1314
313922,Green Room,"Horror,Crime,Thriller",en,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime.",16.435,2015-09-25,6.7,2216
579583,The King of Staten Island,"Comedy,Drama",en,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",14.936,2020-07-22,7.1,721
1954,The Butterfly Effect,"Science Fiction,Thriller",en,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",35.389,2004-01-17,7.5,6198
648579,The Unbearable Weight of Massive Talent,"Action,Comedy,Crime",en,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",471.442,2022-04-20,7.0,506
10642,Loser,"Comedy,Romance",en,"On a university scholarship, a good natured student from the midwest gets a crash course in city life while dealing with three evil roommates. He befriends a virtually homeless college student whom he falls for, but she's dating a nasty professor.",7.588,2000-07-21,5.4,351
419499,Che vuoi che sia,Comedy,it,A young man challenges the web to offer money for a sex tape of him and his girlfriend to finance his work and finally be able to afford having a child. Is it really wrong to sell our own intimacy in order to be able to afford making our dreams come true?,5.225,2016-11-09,6.3,258
9079,Dying Young,"Drama,Romance",en,"After she discovers that her boyfriend has betrayed her, Hilary O'Neil is looking for a new start and a new job. She begins to work as a private nurse for a young man suffering from blood cancer. Slowly, they fall in love, but they always know their love cannot last because he is destined to die.",7.188,1991-06-20,6.6,372
458305,Vivarium,"Science Fiction,Horror,Mystery",en,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",207.506,2019-09-07,6.0,1379
